Track_Name,Album_Title,Artist
Stratus,The Best Of Billy Cobham,Billy Cobham
The pleasant pheasant,The Best Of Billy Cobham,Billy Cobham
Solo-Panhandler,The Best Of Billy Cobham,Billy Cobham
Do what cha wanna,The Best Of Billy Cobham,Billy Cobham
Intro/ Low Down,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
13 Years Of Grief,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
Stronger Than Death,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
All For You,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
Super Terrorizer,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
Phoney Smile Fake Hellos,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
Lost My Better Half,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
Bored To Tears,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
A.N.D.R.O.T.A.Z.,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
Born To Booze,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
World Of Trouble,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
No More Tears,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
The Begining... At Last,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
Heart Of Gold,Alcohol Fueled Brewtality Live! [Disc 2],Black Label Society
Snowblind,Alcohol Fueled Brewtality Live! [Disc 2],Black Label Society
Like A Bird,Alcohol Fueled Brewtality Live! [Disc 2],Black Label Society
Blood In The Wall,Alcohol Fueled Brewtality Live! [Disc 2],Black Label Society
The Beginning...At Last,Alcohol Fueled Brewtality Live! [Disc 2],Black Label Society
Black Sabbath,Black Sabbath,Black Sabbath
The Wizard,Black Sabbath,Black Sabbath
Behind The Wall Of Sleep,Black Sabbath,Black Sabbath
N.I.B.,Black Sabbath,Black Sabbath
Evil Woman,Black Sabbath,Black Sabbath
Sleeping Village,Black Sabbath,Black Sabbath
Warning,Black Sabbath,Black Sabbath
Wheels Of Confusion / The Straightener,Black Sabbath Vol. 4 (Remaster),Black Sabbath
Tomorrow's Dream,Black Sabbath Vol. 4 (Remaster),Black Sabbath
Changes,Black Sabbath Vol. 4 (Remaster),Black Sabbath
FX,Black Sabbath Vol. 4 (Remaster),Black Sabbath
Supernaut,Black Sabbath Vol. 4 (Remaster),Black Sabbath
Snowblind,Black Sabbath Vol. 4 (Remaster),Black Sabbath
Cornucopia,Black Sabbath Vol. 4 (Remaster),Black Sabbath
Laguna Sunrise,Black Sabbath Vol. 4 (Remaster),Black Sabbath
St. Vitus Dance,Black Sabbath Vol. 4 (Remaster),Black Sabbath
Under The Sun/Every Day Comes and Goes,Black Sabbath Vol. 4 (Remaster),Black Sabbath
Smoked Pork,Body Count,Body Count
Body Count's In The House,Body Count,Body Count
Now Sports,Body Count,Body Count
Body Count,Body Count,Body Count
A Statistic,Body Count,Body Count
Bowels Of The Devil,Body Count,Body Count
The Real Problem,Body Count,Body Count
KKK Bitch,Body Count,Body Count
D Note,Body Count,Body Count
Voodoo,Body Count,Body Count
The Winner Loses,Body Count,Body Count
There Goes The Neighborhood,Body Count,Body Count
Oprah,Body Count,Body Count
Evil Dick,Body Count,Body Count
Body Count Anthem,Body Count,Body Count
Momma's Gotta Die Tonight,Body Count,Body Count
Freedom Of Speech,Body Count,Body Count
King In Crimson,Chemical Wedding,Bruce Dickinson
Chemical Wedding,Chemical Wedding,Bruce Dickinson
The Tower,Chemical Wedding,Bruce Dickinson
Killing Floor,Chemical Wedding,Bruce Dickinson
Book Of Thel,Chemical Wedding,Bruce Dickinson
Gates Of Urizen,Chemical Wedding,Bruce Dickinson
Jerusalem,Chemical Wedding,Bruce Dickinson
Trupets Of Jericho,Chemical Wedding,Bruce Dickinson
Machine Men,Chemical Wedding,Bruce Dickinson
The Alchemist,Chemical Wedding,Bruce Dickinson
Realword,Chemical Wedding,Bruce Dickinson
First Time I Met The Blues,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
Let Me Love You Baby,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
